parameter,value,unit,datetimeLocal
pm10,44.92,µg/m³,2026-03-15T20:05:00+07:00
pm10,45.67,µg/m³,2026-03-15T20:10:00+07:00
pm10,45.12,µg/m³,2026-03-15T20:15:00+07:00
pm10,46.59,µg/m³,2026-03-15T20:25:00+07:00
pm10,48.01,µg/m³,2026-03-15T20:30:00+07:00
pm10,48.99,µg/m³,2026-03-15T20:35:00+07:00
pm10,49.51,µg/m³,2026-03-15T20:40:00+07:00
pm10,50.7,µg/m³,2026-03-15T20:45:00+07:00
pm10,51.78,µg/m³,2026-03-15T20:50:00+07:00
pm10,53.08,µg/m³,2026-03-15T20:55:00+07:00
pm10,53.44,µg/m³,2026-03-15T21:05:00+07:00
pm10,54.75,µg/m³,2026-03-15T21:10:00+07:00
pm10,55.72,µg/m³,2026-03-15T21:15:00+07:00
pm10,57.03,µg/m³,2026-03-15T21:20:00+07:00
pm10,57.75,µg/m³,2026-03-15T21:25:00+07:00
pm10,58.01,µg/m³,2026-03-15T21:30:00+07:00
pm10,59.14,µg/m³,2026-03-15T21:35:00+07:00
pm10,59.56,µg/m³,2026-03-15T21:40:00+07:00
pm10,58.63,µg/m³,2026-03-15T21:45:00+07:00
pm10,58.73,µg/m³,2026-03-15T21:50:00+07:00
pm10,58.49,µg/m³,2026-03-15T21:55:00+07:00
pm10,58.2,µg/m³,2026-03-15T22:00:00+07:00
pm10,58.44,µg/m³,2026-03-15T22:05:00+07:00
pm10,59.7,µg/m³,2026-03-15T22:10:00+07:00
pm10,60.19,µg/m³,2026-03-15T22:15:00+07:00
pm10,60.37,µg/m³,2026-03-15T22:20:00+07:00
pm10,60.95,µg/m³,2026-03-15T22:25:00+07:00
pm10,60.7,µg/m³,2026-03-15T22:30:00+07:00
pm10,60.8,µg/m³,2026-03-15T22:35:00+07:00
pm10,60.4,µg/m³,2026-03-15T22:40:00+07:00
pm10,60.01,µg/m³,2026-03-15T22:45:00+07:00
pm10,60.29,µg/m³,2026-03-15T22:50:00+07:00
pm10,60.82,µg/m³,2026-03-15T22:55:00+07:00
pm10,61.18,µg/m³,2026-03-15T23:00:00+07:00
pm10,61.82,µg/m³,2026-03-15T23:05:00+07:00
pm10,60.98,µg/m³,2026-03-15T23:10:00+07:00
pm10,60.36,µg/m³,2026-03-15T23:15:00+07:00
pm10,60.8,µg/m³,2026-03-15T23:20:00+07:00
pm10,59.87,µg/m³,2026-03-15T23:25:00+07:00
pm10,58.35,µg/m³,2026-03-15T23:30:00+07:00
pm10,56.72,µg/m³,2026-03-15T23:35:00+07:00
pm10,56.55,µg/m³,2026-03-15T23:40:00+07:00
pm10,56.78,µg/m³,2026-03-15T23:45:00+07:00
pm10,57.19,µg/m³,2026-03-15T23:50:00+07:00
pm10,56.24,µg/m³,2026-03-15T23:55:00+07:00
pm10,78.04,µg/m³,2026-03-16T00:00:00+07:00
pm10,56.08,µg/m³,2026-03-16T00:05:00+07:00
pm10,55.21,µg/m³,2026-03-16T00:10:00+07:00
pm10,54.5,µg/m³,2026-03-16T00:15:00+07:00
pm10,54.34,µg/m³,2026-03-16T00:20:00+07:00
pm10,54.34,µg/m³,2026-03-16T00:25:00+07:00
pm10,54.34,µg/m³,2026-03-16T00:30:00+07:00
pm10,53.35,µg/m³,2026-03-16T00:35:00+07:00
pm10,52.45,µg/m³,2026-03-16T00:40:00+07:00
pm10,51.3,µg/m³,2026-03-16T00:45:00+07:00
pm10,50.19,µg/m³,2026-03-16T00:50:00+07:00
pm10,49.78,µg/m³,2026-03-16T00:55:00+07:00
pm10,50.25,µg/m³,2026-03-16T01:00:00+07:00
pm10,49.28,µg/m³,2026-03-16T01:05:00+07:00
pm10,48.58,µg/m³,2026-03-16T01:10:00+07:00
