parameter,value,unit,datetimeLocal
pm10,54.6,µg/m³,2026-03-29T14:00:00+07:00
pm10,91.4,µg/m³,2026-03-29T15:00:00+07:00
pm10,93.5,µg/m³,2026-03-29T16:00:00+07:00
pm10,76.5,µg/m³,2026-03-29T17:00:00+07:00
pm10,62.4,µg/m³,2026-03-29T18:00:00+07:00
pm10,53.2,µg/m³,2026-03-29T19:00:00+07:00
pm10,49.8,µg/m³,2026-03-29T20:00:00+07:00
pm10,46.1,µg/m³,2026-03-29T21:00:00+07:00
pm10,45.5,µg/m³,2026-03-29T22:00:00+07:00
pm10,44.1,µg/m³,2026-03-29T23:00:00+07:00
pm10,44.5,µg/m³,2026-03-30T00:00:00+07:00
pm10,48.4,µg/m³,2026-03-30T01:00:00+07:00
pm10,49.7,µg/m³,2026-03-30T02:00:00+07:00
pm10,48.7,µg/m³,2026-03-30T03:00:00+07:00
pm10,52.1,µg/m³,2026-03-30T04:00:00+07:00
pm10,54.6,µg/m³,2026-03-30T05:00:00+07:00
pm10,42.8,µg/m³,2026-03-30T06:00:00+07:00
pm10,37.6,µg/m³,2026-03-30T07:00:00+07:00
pm10,49.6,µg/m³,2026-03-30T08:00:00+07:00
pm10,59.7,µg/m³,2026-03-30T09:00:00+07:00
pm10,70.3,µg/m³,2026-03-30T10:00:00+07:00
pm10,78.4,µg/m³,2026-03-30T11:00:00+07:00
pm10,81,µg/m³,2026-03-30T12:00:00+07:00
pm10,73.6,µg/m³,2026-03-30T13:00:00+07:00
pm10,64.7,µg/m³,2026-03-30T14:00:00+07:00
pm10,74.9,µg/m³,2026-03-30T15:00:00+07:00
pm10,81,µg/m³,2026-03-30T16:00:00+07:00
pm10,75.7,µg/m³,2026-03-30T17:00:00+07:00
pm10,69.4,µg/m³,2026-03-30T18:00:00+07:00
pm10,80,µg/m³,2026-03-30T19:00:00+07:00
pm10,81.6,µg/m³,2026-03-30T20:00:00+07:00
pm10,73.5,µg/m³,2026-03-30T21:00:00+07:00
pm10,68.5,µg/m³,2026-03-30T22:00:00+07:00
pm10,66,µg/m³,2026-03-30T23:00:00+07:00
pm10,61.1,µg/m³,2026-03-31T00:00:00+07:00
pm10,52.7,µg/m³,2026-03-31T01:00:00+07:00
pm10,43.4,µg/m³,2026-03-31T02:00:00+07:00
pm10,44.7,µg/m³,2026-03-31T03:00:00+07:00
pm10,44.3,µg/m³,2026-03-31T04:00:00+07:00
pm10,46.3,µg/m³,2026-03-31T05:00:00+07:00
pm10,53,µg/m³,2026-03-31T06:00:00+07:00
pm10,67.5,µg/m³,2026-03-31T07:00:00+07:00
pm10,85.2,µg/m³,2026-03-31T08:00:00+07:00
pm10,100,µg/m³,2026-03-31T09:00:00+07:00
pm10,102,µg/m³,2026-03-31T10:00:00+07:00
pm10,102,µg/m³,2026-03-31T11:00:00+07:00
pm10,106,µg/m³,2026-03-31T12:00:00+07:00
pm10,103,µg/m³,2026-03-31T13:00:00+07:00
pm10,92,µg/m³,2026-03-31T14:00:00+07:00
pm10,92.6,µg/m³,2026-03-31T15:00:00+07:00
pm10,96.6,µg/m³,2026-03-31T16:00:00+07:00
pm10,96.8,µg/m³,2026-03-31T17:00:00+07:00
pm10,89.7,µg/m³,2026-03-31T18:00:00+07:00
pm10,87.7,µg/m³,2026-03-31T19:00:00+07:00
pm10,95.7,µg/m³,2026-03-31T20:00:00+07:00
pm10,103,µg/m³,2026-03-31T21:00:00+07:00
pm10,104,µg/m³,2026-03-31T22:00:00+07:00
pm10,101,µg/m³,2026-03-31T23:00:00+07:00
pm10,87.4,µg/m³,2026-04-01T00:00:00+07:00
pm10,63.9,µg/m³,2026-04-01T01:00:00+07:00
pm10,31.8,µg/m³,2026-04-01T02:00:00+07:00
pm10,23.9,µg/m³,2026-04-01T03:00:00+07:00
pm10,55.1,µg/m³,2026-04-01T04:00:00+07:00
pm10,44.7,µg/m³,2026-04-01T05:00:00+07:00
pm10,32,µg/m³,2026-04-01T06:00:00+07:00
pm10,32,µg/m³,2026-04-01T07:00:00+07:00
pm10,40.1,µg/m³,2026-04-01T08:00:00+07:00
pm10,41.3,µg/m³,2026-04-01T09:00:00+07:00
pm10,37.9,µg/m³,2026-04-01T10:00:00+07:00
pm10,36.4,µg/m³,2026-04-01T11:00:00+07:00
pm10,40.6,µg/m³,2026-04-01T12:00:00+07:00
pm10,43.4,µg/m³,2026-04-01T13:00:00+07:00
pm10,45.8,µg/m³,2026-04-01T14:00:00+07:00
pm10,55.4,µg/m³,2026-04-01T15:00:00+07:00
pm10,65.3,µg/m³,2026-04-01T16:00:00+07:00
pm10,68.3,µg/m³,2026-04-01T17:00:00+07:00
pm10,74.3,µg/m³,2026-04-01T18:00:00+07:00
pm10,83.7,µg/m³,2026-04-01T19:00:00+07:00
pm10,97.3,µg/m³,2026-04-01T20:00:00+07:00
pm10,103,µg/m³,2026-04-01T21:00:00+07:00
pm10,84,µg/m³,2026-04-01T22:00:00+07:00
pm10,60.9,µg/m³,2026-04-01T23:00:00+07:00
pm10,57.5,µg/m³,2026-04-02T00:00:00+07:00
pm10,50.2,µg/m³,2026-04-02T01:00:00+07:00
pm10,50.7,µg/m³,2026-04-02T02:00:00+07:00
pm10,53.4,µg/m³,2026-04-02T03:00:00+07:00
pm10,53.5,µg/m³,2026-04-02T04:00:00+07:00
pm10,50.1,µg/m³,2026-04-02T05:00:00+07:00
pm10,50.1,µg/m³,2026-04-02T06:00:00+07:00
pm10,55.6,µg/m³,2026-04-02T07:00:00+07:00
