parameter,value,unit,datetimeLocal
pm10,58.6,µg/m³,2026-04-02T08:00:00+07:00
pm10,59.9,µg/m³,2026-04-02T09:00:00+07:00
pm10,65.4,µg/m³,2026-04-02T10:00:00+07:00
pm10,70.5,µg/m³,2026-04-02T11:00:00+07:00
pm10,74.1,µg/m³,2026-04-02T12:00:00+07:00
pm10,71.7,µg/m³,2026-04-02T13:00:00+07:00
pm10,61.9,µg/m³,2026-04-02T14:00:00+07:00
pm10,61.7,µg/m³,2026-04-02T15:00:00+07:00
pm10,65.9,µg/m³,2026-04-02T16:00:00+07:00
pm10,72.8,µg/m³,2026-04-02T17:00:00+07:00
pm10,82.2,µg/m³,2026-04-02T18:00:00+07:00
pm10,91.7,µg/m³,2026-04-02T19:00:00+07:00
pm10,83.1,µg/m³,2026-04-02T20:00:00+07:00
pm10,64.2,µg/m³,2026-04-02T21:00:00+07:00
pm10,61.8,µg/m³,2026-04-02T22:00:00+07:00
pm10,65.3,µg/m³,2026-04-02T23:00:00+07:00
pm10,62.5,µg/m³,2026-04-03T00:00:00+07:00
pm10,58.5,µg/m³,2026-04-03T01:00:00+07:00
pm10,60.4,µg/m³,2026-04-03T02:00:00+07:00
pm10,63.7,µg/m³,2026-04-03T03:00:00+07:00
pm10,62.1,µg/m³,2026-04-03T04:00:00+07:00
pm10,54.9,µg/m³,2026-04-03T05:00:00+07:00
pm10,52.6,µg/m³,2026-04-03T06:00:00+07:00
pm10,62,µg/m³,2026-04-03T07:00:00+07:00
pm10,74.9,µg/m³,2026-04-03T08:00:00+07:00
pm10,86.5,µg/m³,2026-04-03T09:00:00+07:00
pm10,87.7,µg/m³,2026-04-03T10:00:00+07:00
pm10,84.6,µg/m³,2026-04-03T11:00:00+07:00
pm10,83.8,µg/m³,2026-04-03T12:00:00+07:00
pm10,79.8,µg/m³,2026-04-03T13:00:00+07:00
pm10,74.5,µg/m³,2026-04-03T14:00:00+07:00
pm10,71.2,µg/m³,2026-04-03T15:00:00+07:00
pm10,71,µg/m³,2026-04-03T16:00:00+07:00
pm10,71,µg/m³,2026-04-03T17:00:00+07:00
pm10,72.6,µg/m³,2026-04-03T18:00:00+07:00
pm10,81.7,µg/m³,2026-04-03T19:00:00+07:00
pm10,91,µg/m³,2026-04-03T20:00:00+07:00
pm10,96,µg/m³,2026-04-03T21:00:00+07:00
pm10,93.2,µg/m³,2026-04-03T22:00:00+07:00
pm10,85,µg/m³,2026-04-03T23:00:00+07:00
pm10,73.6,µg/m³,2026-04-04T00:00:00+07:00
pm10,63.9,µg/m³,2026-04-04T01:00:00+07:00
pm10,59.4,µg/m³,2026-04-04T02:00:00+07:00
pm10,64.7,µg/m³,2026-04-04T03:00:00+07:00
pm10,70.7,µg/m³,2026-04-04T04:00:00+07:00
pm10,71.1,µg/m³,2026-04-04T05:00:00+07:00
pm10,72,µg/m³,2026-04-04T06:00:00+07:00
pm10,76.9,µg/m³,2026-04-04T07:00:00+07:00
pm10,86.9,µg/m³,2026-04-04T08:00:00+07:00
pm10,87.7,µg/m³,2026-04-04T09:00:00+07:00
pm10,64.8,µg/m³,2026-04-04T10:00:00+07:00
pm10,44.2,µg/m³,2026-04-04T11:00:00+07:00
pm10,38.4,µg/m³,2026-04-04T12:00:00+07:00
pm10,39,µg/m³,2026-04-04T13:00:00+07:00
pm10,40.6,µg/m³,2026-04-04T14:00:00+07:00
pm10,43.3,µg/m³,2026-04-04T15:00:00+07:00
pm10,49.8,µg/m³,2026-04-04T16:00:00+07:00
pm10,65.7,µg/m³,2026-04-04T17:00:00+07:00
pm10,89.9,µg/m³,2026-04-04T18:00:00+07:00
pm10,96.8,µg/m³,2026-04-04T19:00:00+07:00
pm10,85.2,µg/m³,2026-04-04T20:00:00+07:00
pm10,74.6,µg/m³,2026-04-04T21:00:00+07:00
pm10,60.6,µg/m³,2026-04-04T22:00:00+07:00
pm10,45.3,µg/m³,2026-04-04T23:00:00+07:00
pm10,42.6,µg/m³,2026-04-05T00:00:00+07:00
pm10,45.3,µg/m³,2026-04-05T01:00:00+07:00
pm10,50.8,µg/m³,2026-04-05T02:00:00+07:00
pm10,53.6,µg/m³,2026-04-05T03:00:00+07:00
pm10,56.8,µg/m³,2026-04-05T04:00:00+07:00
pm10,60.6,µg/m³,2026-04-05T05:00:00+07:00
pm10,61.1,µg/m³,2026-04-05T06:00:00+07:00
pm10,60.3,µg/m³,2026-04-05T07:00:00+07:00
pm10,61.4,µg/m³,2026-04-05T08:00:00+07:00
pm10,65.8,µg/m³,2026-04-05T09:00:00+07:00
pm10,73.9,µg/m³,2026-04-05T10:00:00+07:00
pm10,84.1,µg/m³,2026-04-05T11:00:00+07:00
pm10,92.5,µg/m³,2026-04-05T12:00:00+07:00
pm10,93.1,µg/m³,2026-04-05T13:00:00+07:00
