parameter,value,unit,datetimeLocal
pm1,23.7,µg/m³,2026-03-29T17:00:00+07:00
pm1,24.6,µg/m³,2026-03-29T18:00:00+07:00
pm1,25.4,µg/m³,2026-03-29T19:00:00+07:00
pm1,25.4,µg/m³,2026-03-29T20:00:00+07:00
pm1,25.9,µg/m³,2026-03-29T21:00:00+07:00
pm1,26.4,µg/m³,2026-03-29T22:00:00+07:00
pm1,27.4,µg/m³,2026-03-29T23:00:00+07:00
pm1,30.4,µg/m³,2026-03-30T00:00:00+07:00
pm1,33.6,µg/m³,2026-03-30T01:00:00+07:00
pm1,34.4,µg/m³,2026-03-30T02:00:00+07:00
pm1,34.4,µg/m³,2026-03-30T03:00:00+07:00
pm1,39.8,µg/m³,2026-03-30T04:00:00+07:00
pm1,53.7,µg/m³,2026-03-30T05:00:00+07:00
pm1,42.3,µg/m³,2026-03-30T06:00:00+07:00
pm1,49.2,µg/m³,2026-03-30T07:00:00+07:00
pm1,49.4,µg/m³,2026-03-30T08:00:00+07:00
pm1,33.7,µg/m³,2026-03-30T09:00:00+07:00
pm1,34.4,µg/m³,2026-03-30T10:00:00+07:00
pm1,34,µg/m³,2026-03-30T11:00:00+07:00
pm1,34,µg/m³,2026-03-30T12:00:00+07:00
pm1,35.2,µg/m³,2026-03-30T13:00:00+07:00
pm1,35.8,µg/m³,2026-03-30T14:00:00+07:00
pm1,36.1,µg/m³,2026-03-30T15:00:00+07:00
pm1,34.9,µg/m³,2026-03-30T16:00:00+07:00
pm1,33.7,µg/m³,2026-03-30T17:00:00+07:00
pm1,38.7,µg/m³,2026-03-30T18:00:00+07:00
pm1,36.6,µg/m³,2026-03-30T19:00:00+07:00
pm1,40,µg/m³,2026-03-30T20:00:00+07:00
pm1,40.9,µg/m³,2026-03-30T21:00:00+07:00
pm1,35.3,µg/m³,2026-03-30T22:00:00+07:00
pm1,40.6,µg/m³,2026-03-30T23:00:00+07:00
pm1,32.8,µg/m³,2026-03-31T00:00:00+07:00
pm1,36.1,µg/m³,2026-03-31T01:00:00+07:00
pm1,31.3,µg/m³,2026-03-31T02:00:00+07:00
pm1,39.3,µg/m³,2026-03-31T03:00:00+07:00
pm1,39.8,µg/m³,2026-03-31T04:00:00+07:00
pm1,37.9,µg/m³,2026-03-31T05:00:00+07:00
pm1,42.5,µg/m³,2026-03-31T06:00:00+07:00
pm1,41.6,µg/m³,2026-03-31T07:00:00+07:00
pm1,44.9,µg/m³,2026-03-31T08:00:00+07:00
pm1,33.1,µg/m³,2026-03-31T09:00:00+07:00
pm1,34.2,µg/m³,2026-03-31T10:00:00+07:00
pm1,38.2,µg/m³,2026-03-31T11:00:00+07:00
pm1,42.6,µg/m³,2026-03-31T12:00:00+07:00
pm1,47.2,µg/m³,2026-03-31T13:00:00+07:00
pm1,46.9,µg/m³,2026-03-31T14:00:00+07:00
pm1,48.6,µg/m³,2026-03-31T15:00:00+07:00
pm1,46.9,µg/m³,2026-03-31T16:00:00+07:00
pm1,42.2,µg/m³,2026-03-31T17:00:00+07:00
pm1,37.6,µg/m³,2026-03-31T18:00:00+07:00
pm1,39.3,µg/m³,2026-03-31T19:00:00+07:00
pm1,39.7,µg/m³,2026-03-31T20:00:00+07:00
pm1,43.7,µg/m³,2026-03-31T21:00:00+07:00
pm1,43.6,µg/m³,2026-03-31T22:00:00+07:00
pm1,35.7,µg/m³,2026-03-31T23:00:00+07:00
pm1,37,µg/m³,2026-04-01T00:00:00+07:00
pm1,28.8,µg/m³,2026-04-01T01:00:00+07:00
pm1,24.1,µg/m³,2026-04-01T02:00:00+07:00
pm1,13.6,µg/m³,2026-04-01T03:00:00+07:00
pm1,7.7,µg/m³,2026-04-01T04:00:00+07:00
pm1,9.4,µg/m³,2026-04-01T05:00:00+07:00
pm1,15,µg/m³,2026-04-01T06:00:00+07:00
pm1,21.4,µg/m³,2026-04-01T07:00:00+07:00
pm1,18.5,µg/m³,2026-04-01T08:00:00+07:00
pm1,12.2,µg/m³,2026-04-01T09:00:00+07:00
pm1,9.8,µg/m³,2026-04-01T10:00:00+07:00
pm1,16.1,µg/m³,2026-04-01T11:00:00+07:00
pm1,19.5,µg/m³,2026-04-01T12:00:00+07:00
pm1,23.6,µg/m³,2026-04-01T13:00:00+07:00
pm1,27.3,µg/m³,2026-04-01T14:00:00+07:00
pm1,29.6,µg/m³,2026-04-01T15:00:00+07:00
pm1,32.3,µg/m³,2026-04-01T16:00:00+07:00
pm1,33.8,µg/m³,2026-04-01T17:00:00+07:00
pm1,35.8,µg/m³,2026-04-01T18:00:00+07:00
