parameter,value,unit,datetimeLocal
pm1,39.8,µg/m³,2026-04-01T19:00:00+07:00
pm1,28,µg/m³,2026-04-01T20:00:00+07:00
pm1,22.4,µg/m³,2026-04-01T21:00:00+07:00
pm1,28.4,µg/m³,2026-04-01T22:00:00+07:00
pm1,31.7,µg/m³,2026-04-01T23:00:00+07:00
pm1,30.8,µg/m³,2026-04-02T00:00:00+07:00
pm1,28.8,µg/m³,2026-04-02T01:00:00+07:00
pm1,28.1,µg/m³,2026-04-02T02:00:00+07:00
pm1,28.2,µg/m³,2026-04-02T03:00:00+07:00
pm1,28.2,µg/m³,2026-04-02T04:00:00+07:00
pm1,28.4,µg/m³,2026-04-02T05:00:00+07:00
pm1,28.5,µg/m³,2026-04-02T06:00:00+07:00
pm1,28.2,µg/m³,2026-04-02T07:00:00+07:00
pm1,31.9,µg/m³,2026-04-02T08:00:00+07:00
pm1,31.3,µg/m³,2026-04-02T09:00:00+07:00
pm1,31.5,µg/m³,2026-04-02T10:00:00+07:00
pm1,31.1,µg/m³,2026-04-02T11:00:00+07:00
pm1,31.2,µg/m³,2026-04-02T12:00:00+07:00
pm1,30.7,µg/m³,2026-04-02T13:00:00+07:00
pm1,33,µg/m³,2026-04-02T14:00:00+07:00
pm1,37.4,µg/m³,2026-04-02T15:00:00+07:00
pm1,40.6,µg/m³,2026-04-02T16:00:00+07:00
pm1,41.6,µg/m³,2026-04-02T17:00:00+07:00
pm1,42.1,µg/m³,2026-04-02T18:00:00+07:00
pm1,32,µg/m³,2026-04-02T19:00:00+07:00
pm1,37.9,µg/m³,2026-04-02T20:00:00+07:00
pm1,39.4,µg/m³,2026-04-02T21:00:00+07:00
pm1,38.9,µg/m³,2026-04-02T22:00:00+07:00
pm1,50,µg/m³,2026-04-02T23:00:00+07:00
pm1,39.4,µg/m³,2026-04-03T00:00:00+07:00
pm1,40,µg/m³,2026-04-03T01:00:00+07:00
pm1,46.4,µg/m³,2026-04-03T02:00:00+07:00
pm1,42.4,µg/m³,2026-04-03T03:00:00+07:00
pm1,36.5,µg/m³,2026-04-03T04:00:00+07:00
pm1,37.9,µg/m³,2026-04-03T05:00:00+07:00
pm1,33.5,µg/m³,2026-04-03T06:00:00+07:00
pm1,47.3,µg/m³,2026-04-03T07:00:00+07:00
pm1,48.7,µg/m³,2026-04-03T08:00:00+07:00
pm1,35.1,µg/m³,2026-04-03T09:00:00+07:00
pm1,35.5,µg/m³,2026-04-03T10:00:00+07:00
pm1,37.9,µg/m³,2026-04-03T11:00:00+07:00
pm1,40.4,µg/m³,2026-04-03T12:00:00+07:00
pm1,41.8,µg/m³,2026-04-03T13:00:00+07:00
pm1,42.9,µg/m³,2026-04-03T14:00:00+07:00
pm1,42.3,µg/m³,2026-04-03T15:00:00+07:00
pm1,39.6,µg/m³,2026-04-03T16:00:00+07:00
pm1,39.4,µg/m³,2026-04-03T17:00:00+07:00
pm1,38.3,µg/m³,2026-04-03T18:00:00+07:00
pm1,45.7,µg/m³,2026-04-03T19:00:00+07:00
pm1,41.8,µg/m³,2026-04-03T20:00:00+07:00
pm1,38.6,µg/m³,2026-04-03T21:00:00+07:00
pm1,33.8,µg/m³,2026-04-03T22:00:00+07:00
pm1,35.2,µg/m³,2026-04-03T23:00:00+07:00
pm1,41.8,µg/m³,2026-04-04T00:00:00+07:00
pm1,41.6,µg/m³,2026-04-04T01:00:00+07:00
pm1,41.7,µg/m³,2026-04-04T02:00:00+07:00
pm1,36.5,µg/m³,2026-04-04T03:00:00+07:00
pm1,34.8,µg/m³,2026-04-04T04:00:00+07:00
pm1,35.4,µg/m³,2026-04-04T05:00:00+07:00
pm1,38.3,µg/m³,2026-04-04T06:00:00+07:00
pm1,33.2,µg/m³,2026-04-04T07:00:00+07:00
pm1,36.6,µg/m³,2026-04-04T08:00:00+07:00
pm1,37.1,µg/m³,2026-04-04T09:00:00+07:00
pm1,21.9,µg/m³,2026-04-04T10:00:00+07:00
pm1,21.4,µg/m³,2026-04-04T11:00:00+07:00
pm1,22.9,µg/m³,2026-04-04T12:00:00+07:00
pm1,23.3,µg/m³,2026-04-04T13:00:00+07:00
pm1,28.1,µg/m³,2026-04-04T14:00:00+07:00
pm1,31.5,µg/m³,2026-04-04T15:00:00+07:00
pm1,34.5,µg/m³,2026-04-04T16:00:00+07:00
pm1,33.8,µg/m³,2026-04-04T17:00:00+07:00
pm1,32.7,µg/m³,2026-04-04T18:00:00+07:00
pm1,32.7,µg/m³,2026-04-04T19:00:00+07:00
pm1,34.6,µg/m³,2026-04-04T20:00:00+07:00
pm1,29.3,µg/m³,2026-04-04T21:00:00+07:00
pm1,27.9,µg/m³,2026-04-04T22:00:00+07:00
pm1,30.1,µg/m³,2026-04-04T23:00:00+07:00
pm1,32.1,µg/m³,2026-04-05T00:00:00+07:00
pm1,31.4,µg/m³,2026-04-05T01:00:00+07:00
pm1,32.8,µg/m³,2026-04-05T02:00:00+07:00
pm1,33.4,µg/m³,2026-04-05T03:00:00+07:00
pm1,33.3,µg/m³,2026-04-05T04:00:00+07:00
pm1,36.4,µg/m³,2026-04-05T05:00:00+07:00
pm1,41.6,µg/m³,2026-04-05T06:00:00+07:00
pm1,41.9,µg/m³,2026-04-05T07:00:00+07:00
pm1,45.2,µg/m³,2026-04-05T08:00:00+07:00
pm1,36.7,µg/m³,2026-04-05T09:00:00+07:00
pm1,37.6,µg/m³,2026-04-05T10:00:00+07:00
pm1,45.1,µg/m³,2026-04-05T11:00:00+07:00
pm1,44.5,µg/m³,2026-04-05T12:00:00+07:00
pm1,46.6,µg/m³,2026-04-05T13:00:00+07:00
pm1,48.1,µg/m³,2026-04-05T14:00:00+07:00
pm1,50.7,µg/m³,2026-04-05T15:00:00+07:00
