parameter,value,unit,datetimeLocal
pm25,74.6,µg/m³,2026-04-03T00:00:00+07:00
pm25,76.2,µg/m³,2026-04-03T01:00:00+07:00
pm25,88.6,µg/m³,2026-04-03T02:00:00+07:00
pm25,81.2,µg/m³,2026-04-03T03:00:00+07:00
pm25,68.9,µg/m³,2026-04-03T04:00:00+07:00
pm25,71.1,µg/m³,2026-04-03T05:00:00+07:00
pm25,63.5,µg/m³,2026-04-03T06:00:00+07:00
pm25,90.1,µg/m³,2026-04-03T07:00:00+07:00
pm25,92,µg/m³,2026-04-03T08:00:00+07:00
pm25,66.5,µg/m³,2026-04-03T09:00:00+07:00
pm25,66.8,µg/m³,2026-04-03T10:00:00+07:00
pm25,70.7,µg/m³,2026-04-03T11:00:00+07:00
pm25,76.5,µg/m³,2026-04-03T11:00:00+07:00
